,a,v,t,2bk_a,2bk_v,2bk_t,0bk_a,0bk_v,0bk_t
110411,1.5752806055,2.06007305737,0.396014430254,1.46638137012,1.71326891842,0.477460079861,1.6361924539,2.67049749683,0.366312649714
111312,1.63197056001,1.98851205574,0.420231743477,1.57309961155,1.59704166572,0.507128145333,1.40373345888,3.11273327911,0.463454610162
111413,1.78398030959,1.80432250713,0.39429165768,1.69717089619,1.71919677543,0.598057930037,1.45662063984,2.49727764404,0.388551118194
111716,1.80836169854,1.77257282497,0.416166012449,1.63264019022,1.50476252363,0.616194062514,1.72429880557,2.5191720877,0.385668251382
112819,1.88230187943,1.93252006996,0.429678176516,1.98727416619,2.17256792595,0.645758583734,1.32147262326,2.22814981358,0.425455795894
113215,1.69541098763,2.15325857147,0.302832880435,1.79043738888,2.04618249645,0.378189081511,1.27466070144,2.85376818759,0.344386543102
113619,1.66371109798,1.9505749148,0.562544133324,1.78966947261,2.04706047803,0.647442968513,1.43184582366,2.05639387322,0.535222277391
113821,1.61046733629,2.27484380688,0.429802413846,1.55541772839,2.35535546449,0.532783440984,1.5620042861,2.34542355532,0.3693519886
113922,1.96540342351,2.22318115467,0.399645851035,1.84486239302,1.98581837864,0.450023813526,1.82359174095,2.3960669235,0.400424898407
114419,1.11183372051,1.72410907929,0.658474318122,1.02583948139,1.48154343961,0.685197855115,1.23435134877,2.01312750398,0.630923251456
114924,1.48262416022,1.44907554512,0.456487248523,1.33328768631,1.12809666828,0.489610330256,1.84512644085,1.89499618241,0.399280866992
115320,1.54861697691,1.40063923663,0.513303513281,1.61311904213,1.5404360031,0.62318308296,1.40104255212,1.36821155738,0.451842527694
116524,1.44021406135,0.749833087065,0.605169761426,1.43684642869,0.764599658481,0.651900188638,1.43389386974,0.739853892307,0.56313183051
117122,2.1907626874,1.98867218789,0.339711080157,1.97829019965,1.83875255529,0.579248550184,1.61253306682,2.70967953611,0.384088250768
117324,1.19796852058,0.757580050158,0.765971733985,1.12385097127,1.10046853076,0.751802039965,1.22974800422,0.503387040501,0.818250214845
118528,2.0693437939,2.11151373945,0.362160121996,2.14880077573,2.03343553382,0.4723421006,1.44454667863,2.53613240771,0.418010534357
118730,1.59673605799,1.46833866522,0.466429353786,1.6107479476,1.36410204999,0.577091902516,1.42198146774,1.76676397053,0.442154608741
118932,1.96577726864,1.85710675341,0.494994404446,1.56464537966,1.8648128004,0.818860764691,2.03443364033,2.14774655995,0.352620003163
119833,1.34046718484,1.11011822763,0.393345664425,1.21916429253,0.844528849386,0.501879765289,1.48366949143,1.44241434892,0.311708405787
120111,1.35776653994,2.38046892197,0.471628928029,1.21054801132,2.05271218204,0.588831755689,1.33500867113,3.27297338733,0.443454286895
