Subject,Group,ACC,RT,Condition
339,MD,1,2479,Add
339,MD,1,2435,Add
339,MD,1,1752,Control
339,MD,1,1130,Control
339,MD,1,1935,Control
339,MD,1,1114,Control
339,MD,1,1635,Control
339,MD,0,0,Add
339,MD,1,3185,Add
339,MD,0,0,Add
339,MD,0,1479,Add
339,MD,0,0,Add
339,MD,1,3354,Add
339,MD,1,2884,Add
339,MD,1,2036,Add
339,MD,0,0,Add
339,MD,1,4109,Add
339,MD,1,4614,Add
339,MD,0,0,Add
339,MD,0,3064,Add
339,MD,1,1879,Control
339,MD,1,1289,Control
339,MD,1,1345,Control
339,MD,1,1280,Control
339,MD,1,4485,Add
339,MD,1,2564,Add
339,MD,1,2033,Add
339,MD,1,1849,Add
339,MD,1,2491,Add
339,MD,0,3776,Add
339,MD,0,1369,Add
339,MD,0,3827,Add
339,MD,0,3735,Add
339,MD,1,1763,Add
339,MD,1,1650,Control
339,MD,1,1719,Control
339,MD,1,1362,Control
339,MD,0,1930,Control
339,MD,1,3218,Control
340,MD,0,0,Add
340,MD,0,0,Add
340,MD,1,248,Add
340,MD,1,1307,Add
340,MD,1,3847,Add
340,MD,1,1667,Control
340,MD,1,1464,Control
340,MD,1,1825,Control
340,MD,0,0,Control
340,MD,1,2713,Control
340,MD,0,0,Add
340,MD,1,98,Add
340,MD,1,4118,Add
340,MD,0,0,Add
340,MD,0,0,Add
340,MD,1,3344,Add
340,MD,0,0,Add
340,MD,1,4184,Add
340,MD,0,0,Add
340,MD,1,2471,Add
340,MD,0,0,Control
340,MD,1,1240,Control
340,MD,1,3571,Control
340,MD,1,1022,Control
340,MD,0,3006,Add
340,MD,0,124,Add
340,MD,0,0,Add
340,MD,0,0,Add
340,MD,1,2705,Add
340,MD,0,0,Add
340,MD,1,1925,Add
340,MD,0,0,Add
340,MD,0,0,Add
340,MD,1,2309,Add
340,MD,1,2986,Add
340,MD,0,0,Add
340,MD,0,4689,Add
340,MD,0,172,Control
340,MD,1,1724,Control
340,MD,1,2485,Control
340,MD,0,0,Control
340,MD,0,76,Control
340,MD,0,0,Add
340,MD,1,3403,Add
340,MD,1,2468,Add
340,MD,1,4198,Add
340,MD,0,0,Add
340,MD,0,325,Add
340,MD,0,0,Add
340,MD,1,2133,Add
340,MD,1,873,Control
340,MD,1,1523,Control
340,MD,1,1871,Control
340,MD,1,1588,Control
346,MD,1,4506,Add
346,MD,0,4743,Add
346,MD,1,4899,Add
346,MD,0,0,Add
346,MD,1,2397,Control
346,MD,1,1446,Control
346,MD,1,2985,Control
346,MD,1,1627,Control
346,MD,1,3694,Add
346,MD,1,2925,Add
346,MD,1,3589,Add
346,MD,1,3301,Add
346,MD,1,2578,Add
346,MD,1,2443,Add
346,MD,1,2414,Add
346,MD,1,3155,Add
346,MD,1,2159,Control
346,MD,1,1835,Control
346,MD,1,1161,Control
346,MD,1,1929,Control
346,MD,1,3259,Control
346,MD,0,1394,Add
346,MD,0,0,Add
346,MD,0,592,Add
346,MD,1,4769,Add
346,MD,1,2979,Add
346,MD,1,4963,Add
346,MD,1,3407,Add
346,MD,1,3862,Add
346,MD,1,4840,Add
346,MD,1,2619,Add
346,MD,1,3065,Add
346,MD,1,1952,Add
346,MD,0,2678,Add
346,MD,1,3190,Add
346,MD,1,2170,Control
346,MD,1,1441,Control
346,MD,1,1399,Control
346,MD,1,982,Control
346,MD,1,3400,Add
346,MD,1,2208,Add
346,MD,1,3755,Add
346,MD,0,0,Add
346,MD,0,2766,Add
346,MD,1,4252,Add
346,MD,0,4113,Add
346,MD,0,0,Add
346,MD,1,3835,Add
346,MD,1,4517,Add
346,MD,1,2191,Control
346,MD,1,1874,Control
346,MD,1,1538,Control
346,MD,1,1859,Control
346,MD,1,1407,Control
350,MD,1,3371,Add
350,MD,1,2231,Add
350,MD,1,2346,Add
350,MD,1,2366,Add
350,MD,1,2227,Add
350,MD,1,2491,Control
350,MD,1,2466,Control
350,MD,1,1318,Control
350,MD,1,1741,Control
350,MD,1,4213,Control
350,MD,0,0,Add
350,MD,1,4810,Add
350,MD,1,2688,Add
350,MD,1,2737,Add
350,MD,1,2914,Add
350,MD,1,4920,Add
350,MD,1,2240,Add
350,MD,1,3000,Add
350,MD,1,3897,Add
350,MD,1,1989,Control
350,MD,1,1721,Control
350,MD,1,1807,Control
350,MD,1,1709,Control
350,MD,1,2153,Add
350,MD,1,3001,Add
350,MD,0,2324,Add
350,MD,1,4179,Add
350,MD,1,4783,Add
350,MD,0,0,Add
350,MD,0,0,Add
350,MD,1,2902,Add
350,MD,1,2388,Add
350,MD,1,2735,Add
350,MD,1,4292,Add
350,MD,1,2419,Add
350,MD,1,1394,Control
350,MD,1,1843,Control
350,MD,1,2698,Control
350,MD,1,2956,Control
350,MD,1,3440,Add
350,MD,1,3799,Add
350,MD,1,2260,Add
350,MD,1,2051,Add
350,MD,1,3860,Add
350,MD,1,3426,Add
350,MD,1,2951,Add
350,MD,1,3523,Add
350,MD,1,2100,Add
350,MD,1,3771,Add
350,MD,1,2167,Control
350,MD,1,1790,Control
350,MD,1,1686,Control
350,MD,1,1781,Control
350,MD,1,2862,Control
471,MD,1,4060,Add
471,MD,1,2512,Add
471,MD,1,2346,Add
471,MD,1,2343,Add
471,MD,1,1911,Add
471,MD,1,1491,Control
471,MD,1,1511,Control
471,MD,1,3272,Control
471,MD,1,1366,Control
471,MD,1,3861,Add
471,MD,1,2790,Add
471,MD,1,4330,Add
471,MD,1,3276,Add
471,MD,1,3912,Add
471,MD,1,2012,Add
471,MD,1,2751,Add
471,MD,1,2407,Add
471,MD,1,1960,Add
471,MD,1,2131,Control
471,MD,1,1805,Control
471,MD,1,1867,Control
471,MD,1,1996,Control
471,MD,1,4595,Add
471,MD,1,4769,Add
471,MD,1,3087,Add
471,MD,0,0,Add
471,MD,1,2123,Add
471,MD,1,3111,Add
471,MD,1,4147,Add
471,MD,1,2589,Add
471,MD,1,1743,Add
471,MD,1,2041,Add
471,MD,1,3417,Add
471,MD,1,2994,Add
471,MD,1,2748,Add
471,MD,1,2730,Add
471,MD,1,1858,Control
471,MD,1,1167,Control
471,MD,1,1719,Control
471,MD,1,1034,Control
471,MD,1,837,Control
471,MD,1,1754,Add
471,MD,1,2190,Add
471,MD,1,3403,Add
471,MD,1,3248,Add
471,MD,1,2356,Add
471,MD,1,3484,Add
471,MD,1,3901,Add
471,MD,1,4109,Add
471,MD,1,1851,Control
471,MD,1,1255,Control
471,MD,1,1827,Control
471,MD,1,1024,Control
471,MD,1,1156,Control
6,TD,1,2072,Add
6,TD,1,2564,Add
6,TD,1,1838,Add
6,TD,1,3455,Add
6,TD,1,1444,Control
6,TD,1,948,Control
6,TD,1,1603,Control
6,TD,1,1752,Control
6,TD,0,0,Add
6,TD,0,0,Add
6,TD,0,52,Add
6,TD,0,0,Add
6,TD,1,3496,Add
6,TD,0,0,Add
6,TD,1,2737,Add
6,TD,1,4404,Add
6,TD,1,1568,Control
6,TD,1,2547,Control
6,TD,1,1275,Control
6,TD,1,1818,Control
6,TD,1,4043,Add
6,TD,0,0,Add
6,TD,1,3137,Add
6,TD,1,4151,Add
6,TD,1,3283,Add
6,TD,1,2591,Add
6,TD,0,0,Add
6,TD,1,3850,Add
6,TD,1,3477,Add
6,TD,0,0,Add
6,TD,1,3167,Add
6,TD,1,4535,Add
6,TD,1,2318,Add
6,TD,1,3601,Add
6,TD,1,1506,Control
6,TD,1,2102,Control
6,TD,1,1317,Control
6,TD,1,1835,Control
6,TD,1,2001,Control
6,TD,1,4819,Add
6,TD,1,2148,Add
6,TD,0,4172,Add
6,TD,1,1805,Add
6,TD,1,4845,Add
6,TD,0,0,Add
6,TD,1,3919,Add
6,TD,1,3838,Add
6,TD,0,0,Add
6,TD,0,6,Add
6,TD,1,1085,Control
6,TD,1,2407,Control
6,TD,1,1208,Control
6,TD,1,1404,Control
6,TD,1,2288,Control
19,TD,1,2007,Add
19,TD,1,1803,Add
19,TD,1,3730,Add
19,TD,1,1919,Add
19,TD,1,2292,Control
19,TD,1,1169,Control
19,TD,1,1720,Control
19,TD,1,1746,Control
19,TD,1,1560,Control
19,TD,1,4214,Add
19,TD,0,0,Add
19,TD,1,4518,Add
19,TD,0,3719,Add
19,TD,1,3721,Add
19,TD,0,3597,Add
19,TD,1,2127,Add
19,TD,0,3045,Add
19,TD,1,3437,Add
19,TD,1,2879,Control
19,TD,1,995,Control
19,TD,1,1572,Control
19,TD,1,1448,Control
19,TD,1,2725,Add
19,TD,1,2959,Add
19,TD,1,2089,Add
19,TD,1,2614,Add
19,TD,0,2571,Add
19,TD,1,1647,Add
19,TD,1,2578,Add
19,TD,1,1401,Add
19,TD,0,2220,Add
19,TD,1,3830,Add
19,TD,1,2986,Add
19,TD,1,3608,Add
19,TD,1,1908,Add
19,TD,1,1304,Control
19,TD,1,1377,Control
19,TD,1,1094,Control
19,TD,1,1900,Control
19,TD,1,2953,Control
19,TD,1,2841,Add
19,TD,1,1890,Add
19,TD,1,3417,Add
19,TD,1,3102,Add
19,TD,1,4512,Add
19,TD,1,2966,Add
19,TD,1,2018,Add
19,TD,1,2717,Add
19,TD,1,3256,Add
19,TD,1,1551,Add
19,TD,1,2312,Control
19,TD,1,1315,Control
19,TD,1,1712,Control
19,TD,1,1244,Control
23,TD,0,4093,Add
23,TD,0,0,Add
23,TD,1,3518,Add
23,TD,1,2075,Add
23,TD,1,1898,Control
23,TD,1,1254,Control
23,TD,1,1489,Control
23,TD,1,1796,Control
23,TD,1,1256,Control
23,TD,1,2423,Add
23,TD,1,1408,Add
23,TD,1,1892,Add
23,TD,1,2992,Add
23,TD,1,2121,Add
23,TD,1,1612,Add
23,TD,0,1741,Add
23,TD,1,1847,Add
23,TD,1,2713,Add
23,TD,1,1861,Control
23,TD,1,964,Control
23,TD,1,1721,Control
23,TD,1,1377,Control
23,TD,1,4105,Add
23,TD,1,2560,Add
23,TD,1,2817,Add
23,TD,1,3214,Add
23,TD,0,1971,Add
23,TD,1,3223,Add
23,TD,1,3511,Add
23,TD,0,2928,Add
23,TD,1,3000,Add
23,TD,1,1980,Add
23,TD,1,2121,Add
23,TD,1,1641,Add
23,TD,1,2020,Add
23,TD,1,2056,Control
23,TD,1,1955,Control
23,TD,1,1135,Control
23,TD,1,997,Control
23,TD,1,1107,Control
23,TD,1,1730,Add
23,TD,1,2703,Add
23,TD,1,2810,Add
23,TD,1,3127,Add
23,TD,1,2902,Add
23,TD,1,2077,Add
23,TD,1,1913,Add
23,TD,1,1882,Add
23,TD,1,2191,Add
23,TD,1,2879,Add
23,TD,1,1574,Control
23,TD,1,2130,Control
23,TD,1,740,Control
23,TD,1,1880,Control
36,TD,1,2577,Add
36,TD,1,2293,Add
36,TD,1,2596,Add
36,TD,1,1562,Add
36,TD,1,2982,Add
36,TD,1,2379,Control
36,TD,1,1188,Control
36,TD,1,1403,Control
36,TD,1,1288,Control
36,TD,1,1753,Control
36,TD,0,2857,Add
36,TD,1,3239,Add
36,TD,1,2019,Add
36,TD,1,4451,Add
36,TD,1,4370,Add
36,TD,0,0,Add
36,TD,1,2247,Add
36,TD,1,3307,Add
36,TD,1,1748,Add
36,TD,1,2004,Add
36,TD,1,2245,Control
36,TD,1,1434,Control
36,TD,1,1661,Control
36,TD,1,1119,Control
36,TD,1,3340,Add
36,TD,1,2890,Add
36,TD,1,1908,Add
36,TD,1,2708,Add
36,TD,1,3039,Add
36,TD,1,1956,Add
36,TD,1,1998,Add
36,TD,0,0,Add
36,TD,1,2495,Add
36,TD,1,2337,Add
36,TD,1,1823,Add
36,TD,1,3946,Add
36,TD,1,2062,Add
36,TD,1,1904,Control
