Subject,ACC,RT,Difficulty,Condition
250,1,2884,Simple,Addition
250,1,2089,Simple,Addition
250,1,2380,Simple,Addition
250,1,3065,Complex,Addition
250,0,0,Complex,Addition
250,1,4779,Complex,Addition
250,1,4373,Complex,Addition
250,1,2146,Simple,Addition
250,1,2027,Simple,Addition
250,1,1652,Simple,Addition
250,1,3642,Simple,Addition
250,0,0,Complex,Addition
250,1,2227,Complex,Addition
250,1,4601,Complex,Addition
250,1,3282,Complex,Addition
250,0,4060,Complex,Addition
250,1,3405,Simple,Addition
250,1,3223,Simple,Addition
250,1,2078,Simple,Addition
250,1,2019,Simple,Addition
250,1,1887,Simple,Addition
262,1,1772,Simple,Addition
262,1,1937,Simple,Addition
262,1,1691,Simple,Addition
262,0,1427,Simple,Addition
262,1,2760,Complex,Addition
262,1,2177,Complex,Addition
262,1,2996,Complex,Addition
262,1,3030,Complex,Addition
262,1,2517,Simple,Addition
262,1,2080,Simple,Addition
262,1,1885,Simple,Addition
262,1,1880,Simple,Addition
262,1,3000,Complex,Addition
262,0,4136,Complex,Addition
262,1,224,Complex,Addition
262,1,3976,Complex,Addition
262,0,2955,Complex,Addition
262,0,0,Complex,Addition
262,0,3480,Complex,Addition
262,0,415,Complex,Addition
262,0,830,Complex,Addition
262,1,1835,Simple,Addition
262,0,2879,Simple,Addition
262,0,208,Simple,Addition
262,1,937,Simple,Addition
262,1,632,Simple,Addition
262,1,3576,Complex,Addition
262,1,2839,Complex,Addition
262,1,3638,Complex,Addition
262,0,2724,Complex,Addition
262,0,2926,Complex,Addition
262,1,1973,Simple,Addition
262,1,2029,Simple,Addition
262,1,1938,Simple,Addition
262,1,1720,Simple,Addition
262,1,4092,Simple,Addition
263,0,0,Complex,Addition
263,1,3355,Complex,Addition
263,0,0,Complex,Addition
263,1,272,Complex,Addition
263,1,4499,Simple,Addition
263,0,0,Simple,Addition
263,0,4087,Simple,Addition
263,0,0,Simple,Addition
263,1,3627,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,1,4281,Simple,Addition
263,1,3658,Simple,Addition
263,1,4411,Simple,Addition
263,1,3071,Simple,Addition
263,0,3708,Simple,Addition
263,0,0,Simple,Addition
263,1,4075,Simple,Addition
263,1,4579,Simple,Addition
263,1,3505,Simple,Addition
263,1,4701,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Complex,Addition
263,0,0,Simple,Addition
263,0,29,Simple,Addition
263,1,3723,Simple,Addition
263,1,3667,Simple,Addition
263,1,3416,Simple,Addition
267,0,2861,Simple,Addition
267,1,3026,Simple,Addition
267,1,3096,Simple,Addition
267,1,2506,Simple,Addition
267,1,3267,Complex,Addition
267,1,3315,Complex,Addition
267,0,0,Complex,Addition
267,1,4852,Complex,Addition
267,1,2404,Simple,Addition
267,1,2560,Simple,Addition
267,1,2277,Simple,Addition
267,0,3748,Simple,Addition
267,1,1805,Simple,Addition
267,0,0,Complex,Addition
267,1,4237,Complex,Addition
267,1,2378,Complex,Addition
267,1,3233,Complex,Addition
267,1,4811,Complex,Addition
267,1,2827,Complex,Addition
267,1,4994,Complex,Addition
267,1,3929,Complex,Addition
267,0,4554,Complex,Addition
267,0,2455,Simple,Addition
267,1,4762,Simple,Addition
267,0,3814,Simple,Addition
267,1,3929,Simple,Addition
267,1,3288,Simple,Addition
267,1,2355,Simple,Addition
267,1,3036,Simple,Addition
267,1,2701,Simple,Addition
267,1,2802,Simple,Addition
267,0,0,Complex,Addition
267,1,4249,Complex,Addition
267,1,4676,Complex,Addition
267,1,2222,Complex,Addition
267,1,3374,Complex,Addition
269,0,3622,Simple,Addition
269,1,1768,Simple,Addition
269,1,2326,Simple,Addition
269,1,2416,Simple,Addition
269,1,2264,Complex,Addition
269,1,3483,Complex,Addition
269,0,0,Complex,Addition
269,1,4741,Complex,Addition
269,0,3173,Complex,Addition
269,0,0,Complex,Addition
269,1,4204,Complex,Addition
269,0,0,Complex,Addition
269,0,0,Simple,Addition
269,1,2095,Simple,Addition
269,0,0,Simple,Addition
269,1,2200,Simple,Addition
269,1,2423,Simple,Addition
269,1,4754,Simple,Addition
269,1,2627,Simple,Addition
269,1,1912,Simple,Addition
269,1,2801,Simple,Addition
269,1,2567,Complex,Addition
269,0,1812,Complex,Addition
269,1,3025,Complex,Addition
269,0,4650,Complex,Addition
269,1,3712,Complex,Addition
269,1,2465,Simple,Addition
269,1,2882,Simple,Addition
269,1,4620,Simple,Addition
269,1,2782,Simple,Addition
269,1,4622,Simple,Addition
269,0,3945,Complex,Addition
269,1,3203,Complex,Addition
269,1,2928,Complex,Addition
269,0,0,Complex,Addition
269,1,4375,Complex,Addition
274,0,0,Complex,Addition
274,1,3213,Complex,Addition
274,1,2579,Complex,Addition
274,1,2242,Complex,Addition
274,1,3485,Simple,Addition
274,1,3368,Simple,Addition
274,1,2681,Simple,Addition
274,1,3881,Simple,Addition
274,0,0,Complex,Addition
274,1,2645,Complex,Addition
274,1,4195,Complex,Addition
274,1,4037,Complex,Addition
274,1,2937,Complex,Addition
274,1,3211,Simple,Addition
274,1,2509,Simple,Addition
274,1,2266,Simple,Addition
274,1,2173,Simple,Addition
274,1,3371,Simple,Addition
274,0,2721,Simple,Addition
274,1,4511,Simple,Addition
274,1,2659,Simple,Addition
274,1,2950,Simple,Addition
274,0,3080,Simple,Addition
274,0,0,Complex,Addition
274,0,273,Complex,Addition
274,1,2519,Complex,Addition
274,1,3365,Complex,Addition
274,1,3765,Complex,Addition
274,1,4817,Complex,Addition
