,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(Sub.MD).214,3.7493272078378577,0.31280829109886271,3.1912466229208301,3.5284732973161974,3.7281479873749812,3.9504722152787544,4.4098111517747354,0.0057671084315414475
a_subj(Sub.MD).218,2.6194776975132106,0.13119609448899205,2.3865735015594849,2.5271733658871525,2.6161018518304391,2.7038711224112388,2.8894292354824564,0.0018936601908765723
a_subj(Sub.MD).236,2.3321714613705096,0.19140465435092593,1.9887363486675151,2.2009683976300169,2.3203956309657987,2.4528471936459275,2.7439568670725656,0.0042664550997626345
a_subj(Sub.MD).258,3.7409744922510897,0.44918618470192828,2.9898069614166336,3.4321914748772162,3.6991069421154865,4.0079096321770553,4.7771982023588464,0.013430384753140687
a_subj(Sub.MD).262,2.8053651594499089,0.18397147972679509,2.4514220661254784,2.6786280862739829,2.8013458907725841,2.9268398031208238,3.176721653821911,0.0033965941965478758
a_subj(Sub.MD).267,2.941493027566247,0.32634314669968778,2.3725714259862287,2.7160309566961107,2.9153734605803034,3.1489453257829041,3.6360189155340783,0.0068257469395429787
a_subj(Sub.MD).269,3.2329339245047155,0.40031414060760573,2.5241195257458973,2.9539413020392744,3.1989119514868545,3.4777991008278399,4.1385891819328853,0.010008243425397263
a_subj(Sub.MD).293,4.3909063468172729,0.39388822526624051,3.6887677021911323,4.1158689544760527,4.3696453969778153,4.6490871434805259,5.2235301840596513,0.0088026215712320634
a_subj(Sub.MD).339,2.9967324622165532,0.29830519214783535,2.460062009370021,2.7881775649428975,2.9832842143622398,3.18393875663874,3.6208337995922872,0.0070814885793194756
a_subj(Sub.MD).340,3.2018353516977887,0.21415172664587592,2.7991715813009255,3.0523525971125065,3.1928940316559355,3.3430017122994089,3.6439624043681786,0.003488917760945323
a_subj(Sub.MD).346,2.9894513842911916,0.29517531236871292,2.4739617505244125,2.7812882285025955,2.9744106245937587,3.1724923581331743,3.6241090575562893,0.0066802472495551945
a_subj(Sub.MD).350,2.4501774985613838,0.21636573751143348,2.0682651521095385,2.2941446710303697,2.4392364686321506,2.5864518231731637,2.9109873571769533,0.0063505373587129559
a_subj(Sub.MD).471,3.334945768377215,0.21697688644497207,2.9418805596722573,3.1798341881006378,3.3272065133283237,3.4775008545208754,3.7859192986409798,0.0040783273998686084
a_subj(Sub.TD).6,3.0656058838924487,0.33567720630407782,2.474430213909665,2.8226608320008859,3.0438896456790427,3.2812107694277119,3.785264155206296,0.0078317560062511529
a_subj(Sub.TD).19,3.5524452839382361,0.23666381996148944,3.1167388403874643,3.3887498648128891,3.5477200214971072,3.7062084508231807,4.0458744593279219,0.0035653195909882058
a_subj(Sub.TD).23,3.264721400420159,0.28774662219641212,2.7652090195700416,3.0605729252183629,3.2475986373224508,3.4413724283088682,3.877432633225768,0.005886719044861724
a_subj(Sub.TD).36,3.1114719582097479,0.32159486769141038,2.5480270551768007,2.8825800804746611,3.0877416809325191,3.319372572763974,3.7853391524886537,0.0084165234883666305
a_subj(Sub.TD).48,3.1147519792349811,0.29376658615793877,2.6068938840822629,2.90925867060988,3.0955041934650067,3.304631275007643,3.7400921905180642,0.0071794113692426453
a_subj(Sub.TD).62,3.7696155479581996,0.39042164141294267,3.0969258212639641,3.4915403962195217,3.7328878971544164,4.0197516167727834,4.6107269945994318,0.010880856536858604
a_subj(Sub.TD).105,3.5725380579995933,0.40454877240854181,2.8693165139169521,3.2800109762263583,3.5491393203328561,3.8257637835893017,4.4406802516037152,0.012282235163495029
a_subj(Sub.TD).203,3.5344653035796232,0.50351211217993297,2.6970047472957437,3.166570195682179,3.4913366140823898,3.8424661459262426,4.6517037035016457,0.019388012029569014
a_subj(Sub.TD).204,3.4604429808527164,0.40222632066154718,2.7783637863785073,3.1745691993000795,3.4315700077912354,3.7029497330054149,4.3705297275121806,0.01144822570336663
a_subj(Sub.TD).208,3.6476962424688764,0.30134753841321466,3.1091885461505973,3.4316198180177429,3.6340835808450405,3.8392897712818121,4.2830267025039728,0.0073833119742098595
a_subj(Sub.TD).224,2.719678046698585,0.26359273768206193,2.266156540409038,2.533760008804633,2.6999398269458936,2.8912734802381261,3.2878142006117841,0.0064967549246645207
a_subj(Sub.TD).227,3.187750232350357,0.18820598325005122,2.8451649818738516,3.0615454799935833,3.1811265127093606,3.309301131583831,3.5729174922785254,0.0030458329145787895
