user_id,ACC,RT,answer,finished,n1,n2,points,problem,problem_id,solution,trial,session,exp_id,row_num
2zbxhrq6oINRwEO97FQhBPb40m62,1,8.704,5,0,3,5,20,3 + ? = 8,3,8,17,1476988354397,SP_missing,78
2zbxhrq6oINRwEO97FQhBPb40m62,1,15.811,8,0,2,8,21,2 + ? = 10,5,10,18,1476988354397,SP_missing,79
2zbxhrq6oINRwEO97FQhBPb40m62,1,11.93,6,0,4,6,22,4 + ? = 10,6,10,19,1476988354397,SP_missing,80
2zbxhrq6oINRwEO97FQhBPb40m62,1,12.214,7,0,2,7,23,2 + ? = 9,4,9,20,1476988354397,SP_missing,81
2zbxhrq6oINRwEO97FQhBPb40m62,1,19.864,9,0,5,9,24,5 + ? = 14,10,14,21,1476988354397,SP_missing,82
2zbxhrq6oINRwEO97FQhBPb40m62,0,17.646,11,0,8,9,24,8 + ? = 17,12,17,23,1476988354397,SP_missing,84
2zbxhrq6oINRwEO97FQhBPb40m62,1,14.864,9,0,8,9,25,8 + ? = 17,12,17,24,1476988354397,SP_missing,85
2zbxhrq6oINRwEO97FQhBPb40m62,1,16.834,8,1,4,8,26,4 + ? = 12,8,12,25,1476988354397,SP_missing,86
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.171,1,0,9,4,4,9 + 4 = 14,8,13,3,1476989235023,SP_verification_timed,89
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.629,0,0,4,2,5,4 + 2 = 6,1,6,4,1476989235023,SP_verification_timed,90
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.746,0,0,5,2,6,5 + 2 = 7,2,7,5,1476989235023,SP_verification_timed,91
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.226,1,0,6,3,12,6 + 3 = 10,4,9,10,1476989235023,SP_verification_timed,96
j15QeTGRQhThgAiuF84rPtnlk8c2,0,1.471,1,0,8,6,13,8 + 6 = 14,10,14,15,1476989235023,SP_verification_timed,101
j15QeTGRQhThgAiuF84rPtnlk8c2,1,2.129,0,0,4,2,14,4 + 2 = 6,1,6,16,1476989235023,SP_verification_timed,102
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.036,1,0,5,4,14,5 + 4 = 8,5,9,17,1476989235023,SP_verification_timed,103
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.612,0,0,9,4,15,9 + 4 = 13,8,13,18,1476989235023,SP_verification_timed,104
j15QeTGRQhThgAiuF84rPtnlk8c2,1,1.81,1,0,7,3,16,7 + 3 = 12,6,10,19,1476989235023,SP_verification_timed,105
